"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","x","sameland","signif"
"148","10-1-3","3-1-2",300,120,0.25,8,15,1.03279555898864,0.150849791239174,NA,FALSE,FALSE
"149","10-1-3","2-2-2",300,120,0.25,13,20,0,0.5,NA,FALSE,FALSE
"150","10-1-3","8-1-3",300,120,0.25,9,19,0.713282503517759,0.237835481018576,NA,FALSE,FALSE
"151","10-1-3","2-2-6",300,120,0.25,10,21,-0.845154254728517,0.800987640246531,NA,FALSE,FALSE
"152","10-1-3","10-2-2",300,120,0.25,20,5,0.543492976389406,0.29339521272272,NA,FALSE,FALSE
"153","10-1-3","7-1-6",300,120,0.25,12,14,0.977254549759915,0.164221574027589,NA,FALSE,FALSE
"154","10-1-3","8-1-6",300,120,0.25,15,6,1.40129809949074,0.0805624746445259,NA,FALSE,FALSE
"155","10-1-3","7-2-5",300,120,0.25,7,9,1.21728908525742,0.111747122803977,NA,FALSE,FALSE
"156","10-1-3","8-2-2",300,120,0.25,16,7,1.20267558860591,0.114550942032529,NA,FALSE,FALSE
"157","10-1-3","6-1-5",300,120,0.25,10,13,-0.248069469178417,0.597959671264019,NA,FALSE,FALSE
"158","10-1-3","6-1-1",300,120,0.25,12,15,0.243975018237133,0.403625083966004,NA,FALSE,FALSE
"159","10-1-3","7-1-5",300,120,0.25,9,19,0.270555432368805,0.393366488739492,NA,FALSE,FALSE
"160","10-1-3","3-2-3",300,120,0.25,4,17,1.25387101145572,0.104944446560597,NA,FALSE,FALSE
"161","10-1-3","6-2-1",300,120,0.25,11,14,-0.711683571886767,0.761669628578705,NA,FALSE,FALSE
"162","10-1-3","9-2-5",300,120,0.25,11,15,-1.84244750118227,0.967295140481288,NA,FALSE,FALSE
"163","10-1-3","9-1-3",300,120,0.25,14,14,-0.643267520902677,0.739974736347603,NA,FALSE,FALSE
"164","10-1-3","7-1-3",300,120,0.25,15,8,-0.710046946804693,0.761162488007048,NA,FALSE,FALSE
"165","10-1-3","9-2-1",300,120,0.25,15,10,-0.665640235470275,0.747179458900609,NA,FALSE,FALSE
"166","10-1-3","3-2-4",300,120,0.25,7,14,0.522232967867093,0.300754067220295,NA,FALSE,FALSE
"167","10-1-3","5-2-5",300,120,0.25,10,20,1.53979470772421,0.0618052011841176,NA,FALSE,FALSE
"168","10-1-3","9-1-1",300,120,0.25,13,19,-0.51798710093176,0.697766365422439,NA,FALSE,FALSE
"169","10-1-3","5-2-4",300,120,0.25,21,4,1.11187397499165,0.13309616991717,NA,FALSE,FALSE
"170","10-1-3","5-1-5",300,120,0.25,14,21,-0.875465538611916,0.809339673457096,NA,FALSE,FALSE
"171","10-1-3","9-1-4",300,120,0.25,10,15,0.499230176602706,0.30880861899277,NA,FALSE,FALSE
"172","10-1-3","8-2-3",300,120,0.25,11,12,0.184637236468999,0.426756788787108,NA,FALSE,FALSE
"173","10-1-3","8-1-1",300,120,0.25,15,6,-2.33549683248457,0.990241259408911,NA,FALSE,FALSE
"174","10-1-3","10-2-4",300,120,0.25,8,12,2.31455024943138,0.0103187791219861,NA,FALSE,TRUE
"175","10-1-3","10-1-2",300,120,0.25,3,20,1.27801930084539,0.100621310478862,NA,FALSE,FALSE
"176","10-1-3","7-1-2",300,120,0.25,8,15,1.3555441711726,0.087622122700003,NA,FALSE,FALSE
"177","10-1-3","6-2-2",300,120,0.25,14,7,-1.26828006482008,0.897651023216426,NA,FALSE,FALSE
"178","10-1-3","9-1-2",300,120,0.25,12,15,-1.41505510577537,0.92147383014604,NA,FALSE,FALSE
"179","10-1-3","5-1-4",300,120,0.25,13,12,-1.30542790372901,0.904126409020867,NA,FALSE,FALSE
"180","10-1-3","4-2-5",300,120,0.25,16,16,-1.69600131324992,0.9550571843202,NA,FALSE,FALSE
"181","10-1-3","5-1-1",300,120,0.25,8,19,-0.690292517269669,0.754994873732669,NA,FALSE,FALSE
"182","10-1-3","4-1-1",300,120,0.25,15,16,-0.948683298050514,0.828609144426044,NA,FALSE,FALSE
"183","10-1-3","10-2-6",300,120,0.25,14,15,0.0436435780471985,0.482594257256919,NA,FALSE,FALSE
"184","10-1-3","1-1-2",300,120,0.25,16,5,0.660578259075816,0.25444140767676,NA,FALSE,FALSE
"185","10-1-3","6-2-5",300,120,0.25,13,11,0.608333732477437,0.271483076365126,NA,FALSE,FALSE
"186","10-1-3","3-2-1",300,120,0.25,8,17,0.582551728035463,0.280097554692303,NA,FALSE,FALSE
"187","10-1-3","3-2-2",300,120,0.25,19,14,1.89414704073935,0.0291027476525905,NA,FALSE,TRUE
"188","10-1-3","5-2-3",300,120,0.25,12,20,1.16774841624228,0.121454130452162,NA,FALSE,FALSE
"189","10-1-3","10-1-6",300,120,0.25,6,17,-0.280056016805602,0.610282735786362,NA,FALSE,FALSE
"190","10-1-3","7-2-6",300,120,0.25,6,16,-2.50651325463325,0.993903575693169,NA,FALSE,FALSE
"191","10-1-3","2-2-5",300,120,0.25,15,13,1.91171177477525,0.0279565866043878,NA,FALSE,TRUE
"192","10-1-3","10-2-3",300,120,0.25,21,20,2.81685886716943,0.00242479154213526,NA,FALSE,TRUE
"193","10-1-3","4-2-3",300,120,0.25,19,10,0.458831467741123,0.323177597769745,NA,FALSE,FALSE
"194","10-1-3","4-2-4",300,120,0.25,19,11,1.91512287648651,0.0277384175095431,NA,FALSE,TRUE
"195","10-1-3","1-2-5",300,120,0.25,17,12,-0.619930419878066,0.73234820137685,NA,FALSE,FALSE
"196","10-1-3","1-1-6",300,120,0.25,14,18,0.303894870559035,0.380603992900481,NA,FALSE,FALSE
"197","10-1-3","1-1-1",300,120,0.25,9,16,-0.226455406828919,0.589576380729036,NA,FALSE,FALSE
"198","10-1-3","3-2-6",300,120,0.25,20,9,-0.754247233265651,0.774649609786932,NA,FALSE,FALSE
"199","10-1-3","6-2-3",300,120,0.25,21,15,1.13910258429814,0.127330184876087,NA,FALSE,FALSE
"200","10-1-3","2-1-4",300,120,0.25,10,20,-1.53979470772421,0.938194798815882,NA,FALSE,FALSE
"201","10-1-3","9-1-5",300,120,0.25,19,10,-0.137649440322337,0.554741260161981,NA,FALSE,FALSE
"202","10-1-3","2-2-1",300,120,0.25,18,3,1.10554159678513,0.13446249025581,NA,FALSE,FALSE
"203","10-1-3","7-2-4",300,120,0.25,10,13,1.11631261130288,0.132144172613014,NA,FALSE,FALSE
